pl_PL	Japonia	2015-09-01	2015-10-01	jezioro	10000,20	PLN
pl_PL	Włochy	2015-07-10	2015-07-30	morze	4000,10	PLN
en_GB	United States	2015-07-10	2015-08-30	mountains	5,400.20	USD
de_DE	Niemcy	2016-05-01	2016-05-10	góry	1500,00	EUR
fr_FR	Francja	2017-06-15	2017-06-25	miasto	2200,50	EUR
pl_PL	Hiszpania	2018-08-01	2018-08-15	plaża	5500,30	PLN
en_US	Kanada	2019-09-10	2019-09-24	las	3,200.00	USD
pl_PL	Chorwacja	2021-07-05	2021-07-15	morze	3800,00	PLN
it_IT	Grecja	2022-06-20	2022-07-02	wyspa	1850,90	EUR
en_AU	Australia	2023-11-01	2023-11-20	ocean	7,500.00	AUD
